nome_produto,marca,segmento,categoria,subcategoria
Abaixador de Língua Bruenings ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Abaixador de Língua Bruenings ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Abaixador de Língua Bruenings ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Abaixador de Língua de Madeira ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Abridor De Boca Abritec ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor De Boca Abritec ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Adulto ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Adulto E Infantil ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Infantil ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Molt Infantil ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Molt Infantil ,,Dentista,Dentística e Estética,Afastadores e Abridores
Abridor de Boca Molt Infantil Black Diamond ,,Dentista,Dentística e Estética,Afastadores e Abridores
Descanso de Boca ,,Dentista,Dentística e Estética,Afastadores e Abridores
Acessório para Irrigação Conector Soro ,,Dentista,Consultorio Odontológico,Acessórios para Equipamentos
Acessório para irrigação tubo de silicone ,,Dentista,Consultorio Odontológico,Acessórios para Equipamentos
Acessório para irrigação tubo de silicone ,,Dentista,Consultorio Odontológico,Acessórios para Equipamentos
Ácido Hialurônico Aeskins Deep 1 Seringa 10ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Deep 1 Seringa 1ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Deep 1 Seringa 2ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Derm 1 Seringa 1ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Derm 1 Seringa 2ml ,Aeskins Deep,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Derm Sub Skin 1 Seringa 10ml ,Aeskins Deep Sub Skin,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Derm Sub Skin 1 Seringa 20ml ,Aeskins Deep Sub Skin,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Aeskins Fine Lines 1 Seringa 1ml ,Aeskins Fine Lines,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Balance ,Belotero Balance,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Balance com Lidocaína ,Belotero Balance,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Intense com Lidocaína ,Belotero Intense,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Soft com Lidocaína ,Belotero Soft,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Belotero Volume com Lidocaína ,Belotero Volume,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Biogelis Global com Lidocaína ,Biogelis Global,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Deep Line Lido ,Deep Line Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Fill ,Fill,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Fill Lido ,Fill Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Lift ,Lift,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Lift Plus Lido ,Lift Plus Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Lips Lido ,Lips Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Rennova Ultra Volume Lido ,Ultra Volume Lido,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Contour+ com Lidocaína ,Contour+,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Kiss+ ,Kiss+,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Outline+ com Lidocaína ,Outline+,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Shape+ com Lidocaína ,Shape+,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Ultra com Lidocaína ,Ultra,Dentista,Harmonização Orofacial,Preenchedores Faciais
Ácido Hialurônico Revanesse Ultra+ ,Ultra+ ,Dentista,Harmonização Orofacial,Preenchedores Faciais
SkinDeep Ácido Hialurônico ,SkinDeep,Dentista,Harmonização Orofacial,Produtos para Pós-Procedimento
Skindeep Hyaluronic Acid Mask ,SkinDeep,Dentista,Harmonização Orofacial,Produtos para Pós-Procedimento
Ácido IPS E.Max Press Invex Liquid 1 ,E.Max,Laboratório,Cerâmicas,Acessórios para Cerâmica
Adaptador de Agulha Vacutainer ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Adaptador de Sucção ,,Dentista,Endodontia,Irrigação e Aspiração
Adaptador de Sucção ,,Dentista,Endodontia,Irrigação e Aspiração
Adaptador para Articulador Vertex Giroform ,,Laboratório,Equipamentos Laboratório,Equipamentos para Prótese Removível
Adaptador Midwest para Assistina 301 Plus ,,Dentista,Equipamentos e Peças de Mão,Equipamentos para Consultório
Adaptador para Assistina Borden ,,Dentista,Equipamentos e Peças de Mão,Equipamentos para Consultório
Adaptador para Assistina Roto Quick ,,Dentista,Equipamentos e Peças de Mão,Equipamentos para Consultório
Adaptador Para Micro Motor E6TP ,,Dentista,Equipamentos e Peças de Mão,Motores Elétricos e Pneumáticos
Adaptador para Sugador ,,Dentista,Descartáveis,Sugadores e Aspiração
Adaptador para Sugador ,,Dentista,Descartáveis,Sugadores e Aspiração
"Adaptador PRN (Luer Lock) Curto 0,1ml 3/4 ",,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Adesivo 3M™ Adper™ Single Bond 2 ,Adper Single Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo 3M™ Scotchbond™ 7543 ,Scotchbond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo 3M™ Scotchbond™ Universal Plus ,Scotchbond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo 3M™ Single Bond Universal ,Single Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo 3M™ Single Bond Universal ,Single Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Adper™ Single Bond 2 ,Adper Single Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Alloy Primer ,Alloy,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar APS ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar Aps + Resina Opallis Ebl2/Dbl2 2 Seringas 4G ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar APS Ortho ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ambar Universal APS ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Âmbar Universal Aps Plus ,Ambar,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Aridus Bond ,Aridus,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Beautibond Extreme ,Beautibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bond,Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bond 2.1 ,Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bond 2.1 ,Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bond 2.1 ,Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Bondaf Nano de 6ml ,Bondaf,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Clearfil Ceramic Primer Plus ,Clearfil,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Clearfil Tri,Clearfil,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Extra Bond DE ,Extra Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Extra Bond DE ,Extra Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Futurabond DC ,Futurabond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Futurabond U ,Futurabond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Gluma Bond 5 ,Gluma Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Gluma Bond Universal ,Gluma Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Humidus Bond ,Humidus Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Humidus Bond ,Humidus Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Magic Bond DE ,Magic Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Magic Bond Esmalte ,Magic Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Magic Bond Universal,Magic Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Master Bond Refil ,Master Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo MZ Primer ,MZ Primer,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo One Coat Bond SL ,One Coat Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Optibond FL ,Optibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Optibond FL Prime ,Optibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Optibond S ,Optibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Optibond Universal ,Optibond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Palfique Bond ,Palfique,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Peak ,Peak,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Prime & Bond 2.1 ,Prime Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Prime & Bond Universal ,Prime Bond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Stae ,Stae,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Tetric N,Tetric,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Tetric N,Tetric,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Tetric N,Tetric,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Universal One Coat 7 ,One Coat 7,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ybond Mono ,Ybond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo Ybond Universal ,Ybond,Dentista,Dentística e Estética,Adesivos Odontológicos
Adesivo ZipBond Universal ,Zipbond,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer 3M™ Scotchbond™ 3008 ,Scotchbond,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Autocondicionante Multilink N A ,Multilink,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Autocondicionante Multilink N B ,Multilink,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Monobond N Universal Refil ,Monobond N,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Stela Refil 5Ml ,Stela,Dentista,Dentística e Estética,Adesivos Odontológicos
Primer Yzap ,Yzap,Dentista,Dentística e Estética,Adesivos Odontológicos
Selante de Superficie Autoadesivo Equia Forte Coat ,Equia Fort,Dentista,Prevenção e Profilaxia,Selantes e Vernizes
Adesivo Fill Magic Ortho ,Fill Magic Ortho,Dentista,Ortodontia,Acessórios para Colagem
Adesivo Ortodôntico 3M™ Transbond™ Plus Color Change ,Transbond,Dentista,Ortodontia,Acessórios para Colagem
